brand_name,pants_description,price,MRP,discount_percent,ratings,number_of_ratings
WROGN,Men Loose Fit Cotton Jeans,1374.0,2499.0,0.45,4.2,57.0
Flying Machine,Men Slim Fit Jeans,1829.0,2999.0,0.39,4.6,5.0
Roadster,Men Pure Cotton Jeans,974.0,2499.0,0.61,3.6,1100.0
Bene Kleed,Relaxed Fit Denim Jeans,873.0,2299.0,0.62,4.0,4800.0
Levis,Men 511 Slim Fit Jeans,1478.0,2899.0,0.49,4.3,264.0
HERE&NOW,Men Stretchable Jeans,798.0,1699.0,0.53,4.0,33.0
Urbano Fashion,Men Relaxed Fit Jeans,944.0,2099.0,0.55,4.0,4200.0
WROGN,Men Anti Fit Jeans,1623.0,2799.0,0.42,4.2,42.0
Bene Kleed,Men Wide Leg Heavy Fade Jeans,839.0,2799.0,0.7,3.6,114.0
Bene Kleed,Relaxed Fit Denim Jeans,873.0,2299.0,0.62,4.1,5200.0
Roadster,Men Regular Fit Mid-Rise Jeans,759.0,1899.0,0.6,4.0,63.0
Bene Kleed,Men Bootcut Jeans,873.0,2299.0,0.62,4.0,757.0
Bene Kleed,Men Wide Leg Jeans,857.0,2599.0,0.67,3.6,152.0
Flying Machine,Slim Fit Stretchable Jeans,1829.0,2999.0,0.39,3.6,152.0
styzon,Men Jogger Mid-Rise Jeans,899.0,3599.0,0.75,4.1,64.0
Roadster,Cotton Ecru Straight Fit Jeans,949.0,2499.0,0.62,3.8,80.0
Calvin Klein Jeans,Men Slim Fit Jeans,949.0,2499.0,0.62,3.8,80.0
styzon,Men Relaxed Fit Jeans,989.0,1799.0,0.45,3.9,42.0
Bene Kleed,Men Bootcut Jeans,850.0,2299.0,0.63,3.9,1000.0
WROGN,Men Slim Fit Stretchable Jeans,1275.0,2199.0,0.42,4.2,130.0
HIGHLANDER,Men Relaxed Fit Mid-Rise Jeans,769.0,2749.0,0.72,3.6,432.0
Bene Kleed,Men Mid-Rise Boot Cut Jeans,873.0,2299.0,0.62,4.0,591.0
Flying Machine,Men Relaxed Fit Jeans,2309.0,3499.0,0.34,4.0,591.0
WROGN,Men Pure Cotton Loose Jeans,1449.0,2499.0,0.42,3.9,111.0
Urbano Fashion,Men Relaxed Fit Jeans,1034.0,2299.0,0.55,3.6,618.0
Levis,Men 511 Slim Fit Jeans,2079.0,3999.0,0.48,3.9,31.0
Kotty,Men Low-Rise Jeans,519.0,1999.0,0.74,3.7,1500.0
Bene Kleed,Men Relaxed Fit Jeans,873.0,2299.0,0.62,4.1,4200.0
Flying Machine,Men Slim Fit Jeans,1549.0,2499.0,0.38,4.1,4200.0
Roadster,Men Wide Leg Jeans,999.0,2499.0,0.6,3.4,53.0
Kotty,Men Straight Fit Jeans,719.0,1999.0,0.64,3.8,61.0
WROGN,Men Anti Fit Jeans,1399.0,2799.0,0.5,4.1,25.0
Kotty,Men Low-Rise Cargo  Jeans,639.0,1999.0,0.68,4.2,2000.0
Mufti,Men Mid-Rise Skinny Fit Jeans,1393.0,3399.0,0.59,3.8,16.0
Mast & Harbour,Men Stretchable Jeans,758.0,2299.0,0.67,3.4,441.0
Urbano Fashion,Men Slim Fit Jeans,629.0,1399.0,0.55,4.0,22300.0
FUGAZEE,Men Relaxed Fit Jeans,2099.0,3499.0,0.4,3.7,124.0
The Indian Garage Co,Men Slim Fit Mid-Rise Jeans,659.0,1999.0,0.67,4.0,1600.0
Roadster,Men Black Faded Casual Jeans,774.0,2499.0,0.69,3.5,868.0
French Connection,Men Slim Fit Jeans,1294.0,3499.0,0.63,4.4,17.0
Mast & Harbour,Men Straight Fit Jeans,764.0,1699.0,0.55,3.5,38.0
Roadster,Men Slim Fit Jeans,681.0,2199.0,0.69,3.8,185.0
Mufti,Men Slim Fit Jeans,1553.0,4199.0,0.63,3.8,22.0
Mast & Harbour,Men Slim Tapered Fit Jeans,701.0,2599.0,0.73,3.8,314.0
The Indian Garage Co,Men Pure Cotton Skater Jeans,688.0,2549.0,0.73,3.7,35.0
Mufti,Men Super Skinny Fit Jeans,1393.0,3399.0,0.59,3.7,35.0
The Indian Garage Co,Men Relaxed Fit Jeans,808.0,2449.0,0.67,3.5,589.0
glitchez,Men Straight Fit Jeans,797.0,1399.0,0.43,4.0,230.0
Mufti,Men Slim Fit Jeans,1649.0,3299.0,0.5,4.2,5.0
Thomas Scott,Men Bootcut Stretchable Jeans,874.0,3499.0,0.75,3.6,234.0
